ID or #		Start	End	Type	Contig
==================================================
gene0		382	822	complete	NODE_2_length_478638_cov_9.783182:16592-16152
gene1		922	1380	complete	NODE_2_length_478638_cov_9.783182:16052-15594
gene2		1532	2524	complete	NODE_2_length_478638_cov_9.783182:15442-14450
gene3		2528	3976	complete	NODE_2_length_478638_cov_9.783182:14446-12998
gene4		3973	5472	complete	NODE_2_length_478638_cov_9.783182:13001-11502
gene5		5690	7558	complete	NODE_2_length_478638_cov_9.783182:11284-9416
gene6		7744	8163	complete	NODE_2_length_478638_cov_9.783182:9230-8811
gene7		8174	9679	complete	NODE_2_length_478638_cov_9.783182:8800-7295
gene8		9685	10650	complete	NODE_2_length_478638_cov_9.783182:7289-6324
gene9		10678	11568	complete	NODE_2_length_478638_cov_9.783182:6296-5406
gene10		11669	12601	complete	NODE_2_length_478638_cov_9.783182:5305-4373
gene11		12614	13597	complete	NODE_2_length_478638_cov_9.783182:4360-3377
gene12		13594	14991	complete	NODE_2_length_478638_cov_9.783182:3380-1983
gene13		15004	15705	complete	NODE_2_length_478638_cov_9.783182:1970-1269
gene14		16189	17714	partial	NODE_2_length_478638_cov_9.783182:785-1
gene17		21377	21883	partial	NODE_17_length_95650_cov_10.453357:186-688
gene18		21880	22461	complete	NODE_17_length_95650_cov_10.453357:685-1266
gene19		22533	22802	complete	NODE_17_length_95650_cov_10.453357:1338-1607
gene20		22878	23864	complete	NODE_17_length_95650_cov_10.453357:1683-2669
gene21		23892	24515	complete	NODE_17_length_95650_cov_10.453357:2697-3320
gene22		24563	25462	complete	NODE_17_length_95650_cov_10.453357:3368-4267
gene23		25973	28651	complete	NODE_17_length_95650_cov_10.453357:4778-7456
gene24		28999	29631	complete	NODE_17_length_95650_cov_10.453357:7804-8436
gene25		30215	30721	complete	NODE_17_length_95650_cov_10.453357:9020-9526
gene26		30910	32283	complete	NODE_17_length_95650_cov_10.453357:9715-11088
gene27		32540	33949	complete	NODE_17_length_95650_cov_10.453357:11345-12754
gene28		33958	35007	complete	NODE_17_length_95650_cov_10.453357:12763-13812
gene29		35196	36605	complete	NODE_17_length_95650_cov_10.453357:14001-15410
gene30		36662	36823	complete	NODE_17_length_95650_cov_10.453357:15467-15628
gene31		36984	38807	complete	NODE_17_length_95650_cov_10.453357:15789-17612
gene32		38943	39542	complete	NODE_17_length_95650_cov_10.453357:17748-18347
gene33		39536	40396	complete	NODE_17_length_95650_cov_10.453357:18341-19201
gene34		40393	40830	complete	NODE_17_length_95650_cov_10.453357:19198-19635
gene35		40815	41816	complete	NODE_17_length_95650_cov_10.453357:19620-20621
gene36		41830	42747	complete	NODE_17_length_95650_cov_10.453357:20635-21552
gene37		42952	43194	complete	NODE_17_length_95650_cov_10.453357:21757-21999
gene38		43194	43577	complete	NODE_17_length_95650_cov_10.453357:21999-22382
gene39		43751	44680	complete	NODE_17_length_95650_cov_10.453357:22556-23485
gene40		44677	45312	complete	NODE_17_length_95650_cov_10.453357:23482-24117
gene41		45309	46211	complete	NODE_17_length_95650_cov_10.453357:24114-25016
gene42		46224	48638	complete	NODE_17_length_95650_cov_10.453357:25029-27443
gene43		48687	49274	complete	NODE_17_length_95650_cov_10.453357:27492-28079
gene44		49431	50267	complete	NODE_17_length_95650_cov_10.453357:28236-29072
gene45		50396	50608	complete	NODE_17_length_95650_cov_10.453357:29201-29413
gene46		51011	51991	complete	NODE_17_length_95650_cov_10.453357:29816-30796
gene47		52003	52317	complete	NODE_17_length_95650_cov_10.453357:30808-31122
gene48		52310	53677	complete	NODE_17_length_95650_cov_10.453357:31115-32482
gene49		53664	54506	complete	NODE_17_length_95650_cov_10.453357:32469-33311
gene50		54565	54834	complete	NODE_17_length_95650_cov_10.453357:33370-33639
gene51		54844	55281	complete	NODE_17_length_95650_cov_10.453357:33649-34086
gene52		55278	55871	complete	NODE_17_length_95650_cov_10.453357:34083-34676
gene53		55868	56191	complete	NODE_17_length_95650_cov_10.453357:34673-34996
gene54		56191	56769	complete	NODE_17_length_95650_cov_10.453357:34996-35574
gene55		56896	57498	complete	NODE_17_length_95650_cov_10.453357:35701-36303
